test_no,crash_type,angle,speed_kph,category
7033,VEHICLE INTO POLE,270.0,32.05,Side
7034,VEHICLE INTO BARRIER,0.0,39.9,Frontal
7035,VEHICLE INTO POLE,270.0,32.34,Side
7036,IMPACTOR INTO VEHICLE,270.0,61.75,Side
7037,VEHICLE INTO POLE,270.0,32.7,Side
7038,VEHICLE INTO BARRIER,0.0,56.3,Frontal
7039,LOW RISK DEPLOYMENT,0.0,0.0,Other
7040,LOW RISK DEPLOYMENT,0.0,0.0,Other
7041,LOW RISK DEPLOYMENT,0.0,0.0,Other
7042,LOW RISK DEPLOYMENT,0.0,0.0,Other
7043,LOW RISK DEPLOYMENT,0.0,0.0,Other
7044,LOW RISK DEPLOYMENT,0.0,0.0,Other
7045,LOW RISK DEPLOYMENT,0.0,0.0,Other
7046,VEHICLE INTO BARRIER,0.0,39.8,Frontal
7047,LOW RISK DEPLOYMENT,0.0,0.0,Other
7048,LOW RISK DEPLOYMENT,0.0,0.0,Other
7049,LOW RISK DEPLOYMENT,0.0,0.0,Other
7050,LOW RISK DEPLOYMENT,0.0,0.0,Other
7051,LOW RISK DEPLOYMENT,0.0,0.0,Other
7052,LOW RISK DEPLOYMENT,0.0,0.0,Other
7053,VEHICLE INTO BARRIER,0.0,39.8,Frontal
7054,LOW RISK DEPLOYMENT,0.0,0.0,Other
7055,LOW RISK DEPLOYMENT,0.0,0.0,Other
7056,VEHICLE INTO BARRIER,0.0,55.8,Frontal
7064,IMPACTOR INTO VEHICLE,270.0,62.1,Side
7065,VEHICLE INTO POLE,270.0,32.1,Side
7066,VEHICLE INTO BARRIER,0.0,56.6,Frontal
7067,VEHICLE INTO POLE,270.0,32.3,Side
7068,VEHICLE INTO BARRIER,0.0,55.8,Frontal
7069,VEHICLE INTO POLE,270.0,31.9,Side
7070,IMPACTOR INTO VEHICLE,270.0,61.8,Side
7071,IMPACTOR INTO VEHICLE,270.0,61.8,Side
7072,VEHICLE INTO POLE,270.0,32.0,Side
7073,IMPACTOR INTO VEHICLE,270.0,62.0,Side
7074,VEHICLE INTO BARRIER,0.0,56.3,Frontal
7075,VEHICLE INTO POLE,270.0,32.0,Side
7076,VEHICLE INTO BARRIER,0.0,56.51,Frontal
7077,VEHICLE INTO POLE,270.0,32.5,Side
7078,VEHICLE INTO BARRIER,0.0,56.5,Frontal
7079,SLED WITHOUT VEHICLE BODY,0.0,55.7,Sled
7080,SLED WITHOUT VEHICLE BODY,0.0,56.3,Sled
7081,SLED WITHOUT VEHICLE BODY,0.0,56.2,Sled
7082,SLED WITHOUT VEHICLE BODY,0.0,55.6,Sled
7083,SLED WITHOUT VEHICLE BODY,0.0,56.3,Sled
7084,SLED WITHOUT VEHICLE BODY,0.0,55.8,Sled
7085,SLED WITHOUT VEHICLE BODY,0.0,56.2,Sled
7086,SLED WITHOUT VEHICLE BODY,0.0,56.4,Sled
7087,SLED WITHOUT VEHICLE BODY,0.0,56.2,Sled
7092,SLED WITHOUT VEHICLE BODY,0.0,56.6,Sled
7093,SLED WITHOUT VEHICLE BODY,0.0,56.6,Sled
7094,SLED WITHOUT VEHICLE BODY,0.0,56.4,Sled
7095,SLED WITHOUT VEHICLE BODY,0.0,56.5,Sled
7096,SLED WITHOUT VEHICLE BODY,0.0,56.5,Sled
7097,SLED WITHOUT VEHICLE BODY,0.0,56.2,Sled
7098,IMPACTOR INTO VEHICLE,270.0,61.8,Side
7099,VEHICLE INTO BARRIER,0.0,55.8,Frontal
7100,VEHICLE INTO BARRIER,0.0,56.68,Frontal
7101,VEHICLE INTO POLE,270.0,32.3,Side
7102,IMPACTOR INTO VEHICLE,270.0,62.2,Side
7103,IMPACTOR INTO VEHICLE,270.0,61.65,Side
7104,VEHICLE INTO POLE,270.0,31.9,Side
7105,VEHICLE INTO POLE,270.0,31.47,Side
7106,IMPACTOR INTO VEHICLE,270.0,61.86,Side
7107,VEHICLE INTO POLE,270.0,32.54,Side
7108,VEHICLE INTO BARRIER,0.0,56.36,Frontal
7109,VEHICLE INTO POLE,270.0,32.5,Side
7110,IMPACTOR INTO VEHICLE,270.0,61.6,Side
7111,IMPACTOR INTO VEHICLE,270.0,62.2,Side
7112,VEHICLE INTO BARRIER,0.0,56.2,Frontal
7113,VEHICLE INTO POLE,270.0,32.3,Side
7114,VEHICLE INTO POLE,270.0,32.68,Side
7115,VEHICLE INTO BARRIER,0.0,56.2,Frontal
7116,VEHICLE INTO POLE,270.0,31.77,Side
7117,IMPACTOR INTO VEHICLE,270.0,62.0,Side
7118,IMPACTOR INTO VEHICLE,270.0,61.84,Side
7119,IMPACTOR INTO VEHICLE,270.0,61.81,Side
7120,VEHICLE INTO BARRIER,0.0,56.5,Frontal
7121,VEHICLE INTO BARRIER,0.0,56.0,Frontal
7122,SLED WITHOUT VEHICLE BODY,0.0,56.4,Sled
7123,SLED WITHOUT VEHICLE BODY,0.0,55.9,Sled
7124,SLED WITHOUT VEHICLE BODY,0.0,56.1,Sled
7125,SLED WITHOUT VEHICLE BODY,0.0,56.4,Sled
7126,VEHICLE INTO BARRIER,0.0,56.37,Frontal
7127,VEHICLE INTO BARRIER,0.0,56.3,Frontal
7129,IMPACTOR INTO VEHICLE,270.0,62.2,Side
7130,IMPACTOR INTO VEHICLE,270.0,61.8,Side
7131,VEHICLE INTO BARRIER,0.0,56.67,Frontal
7132,VEHICLE INTO POLE,270.0,32.22,Side
7133,IMPACTOR INTO VEHICLE,270.0,62.3,Side
7134,VEHICLE INTO POLE,270.0,31.97,Side
7135,IMPACTOR INTO VEHICLE,270.0,61.53,Side
7136,VEHICLE INTO POLE,270.0,32.5,Side
7137,VEHICLE INTO BARRIER,0.0,56.3,Frontal
7138,IMPACTOR INTO VEHICLE,270.0,62.17,Side
7139,VEHICLE INTO BARRIER,0.0,56.7,Frontal
7140,VEHICLE INTO POLE,270.0,32.5,Side
7141,VEHICLE INTO POLE,270.0,31.91,Side
7142,VEHICLE INTO POLE,270.0,32.58,Side
7143,IMPACTOR INTO VEHICLE,270.0,62.1,Side
7144,VEHICLE INTO BARRIER,9.0,56.1,Frontal
7145,VEHICLE INTO POLE,7.0,56.1,Side
7146,IMPACTOR INTO VEHICLE,270.0,61.67,Side
7147,VEHICLE INTO BARRIER,0.0,56.2,Frontal
7148,VEHICLE INTO BARRIER,0.0,56.33,Frontal
7149,VEHICLE INTO BARRIER,0.0,56.3,Frontal
7150,VEHICLE INTO BARRIER,0.0,56.4,Frontal
7151,IMPACTOR INTO VEHICLE,270.0,62.1,Side
7152,VEHICLE INTO BARRIER,0.0,56.56,Frontal
7153,IMPACTOR INTO VEHICLE,270.0,62.32,Side
7154,IMPACTOR INTO VEHICLE,270.0,62.1,Side
7155,VEHICLE INTO POLE,270.0,32.3,Side
7156,VEHICLE INTO POLE,270.0,32.9,Side
7157,VEHICLE INTO POLE,270.0,32.15,Side
7158,VEHICLE INTO BARRIER,0.0,56.2,Frontal
7159,VEHICLE INTO POLE,270.0,32.5,Side
7160,IMPACTOR INTO VEHICLE,270.0,62.1,Side
7161,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7162,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7163,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7164,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7165,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7166,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7167,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7168,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7169,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7170,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7171,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7173,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7174,VEHICLE INTO POLE,270.0,32.37,Side
7175,VEHICLE INTO BARRIER,0.0,56.9,Frontal
7176,IMPACTOR INTO VEHICLE,270.0,62.4,Side
7177,IMPACTOR INTO VEHICLE,270.0,62.43,Side
7178,VEHICLE INTO POLE,270.0,32.3,Side
7179,VEHICLE INTO BARRIER,0.0,56.21,Frontal
7180,VEHICLE INTO BARRIER,0.0,56.2,Frontal
7181,IMPACTOR INTO VEHICLE,270.0,62.23,Side
7182,VEHICLE INTO BARRIER,0.0,56.2,Frontal
7183,VEHICLE INTO BARRIER,0.0,56.84,Frontal
7184,VEHICLE INTO POLE,270.0,32.5,Side
7185,VEHICLE INTO POLE,270.0,31.56,Side
7187,IMPACTOR INTO VEHICLE,270.0,62.0,Side
7188,VEHICLE INTO BARRIER,0.0,56.2,Frontal
7189,VEHICLE INTO BARRIER,0.0,56.36,Frontal
7190,VEHICLE INTO POLE,270.0,31.48,Side
7191,VEHICLE INTO POLE,270.0,32.24,Side
7192,IMPACTOR INTO VEHICLE,270.0,61.83,Side
7193,IMPACTOR INTO VEHICLE,270.0,62.15,Side
7194,VEHICLE INTO BARRIER,0.0,56.3,Frontal
7195,VEHICLE INTO POLE,270.0,32.5,Side
7196,VEHICLE INTO BARRIER,0.0,56.6,Frontal
7197,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7198,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7199,IMPACTOR INTO VEHICLE,270.0,62.1,Side
7200,VEHICLE INTO BARRIER,0.0,56.3,Frontal
7201,VEHICLE INTO BARRIER,0.0,56.3,Frontal
7202,VEHICLE INTO POLE,270.0,32.3,Side
7203,VEHICLE INTO BARRIER,0.0,56.5,Frontal
7204,IMPACTOR INTO VEHICLE,270.0,61.8,Side
7205,SLED WITHOUT VEHICLE BODY,10.0,32.3,Sled
7206,SLED WITHOUT VEHICLE BODY,10.0,32.3,Sled
7207,SLED WITHOUT VEHICLE BODY,10.0,32.2,Sled
7208,SLED WITHOUT VEHICLE BODY,10.0,32.3,Sled
7209,SLED WITHOUT VEHICLE BODY,10.0,32.2,Sled
7210,SLED WITHOUT VEHICLE BODY,10.0,32.3,Sled
7211,SLED WITHOUT VEHICLE BODY,10.0,32.4,Sled
7212,SLED WITHOUT VEHICLE BODY,10.0,32.4,Sled
7213,SLED WITHOUT VEHICLE BODY,10.0,32.3,Sled
7214,SLED WITHOUT VEHICLE BODY,10.0,32.3,Sled
7215,SLED WITHOUT VEHICLE BODY,10.0,32.4,Sled
7216,SLED WITHOUT VEHICLE BODY,10.0,32.4,Sled
7217,SLED WITHOUT VEHICLE BODY,10.0,32.3,Sled
7218,SLED WITHOUT VEHICLE BODY,10.0,32.3,Sled
7219,SLED WITHOUT VEHICLE BODY,10.0,32.3,Sled
7220,SLED WITHOUT VEHICLE BODY,10.0,32.4,Sled
7221,SLED WITHOUT VEHICLE BODY,10.0,32.3,Sled
7222,SLED WITHOUT VEHICLE BODY,10.0,32.3,Sled
7223,SLED WITHOUT VEHICLE BODY,10.0,32.2,Sled
7224,SLED WITHOUT VEHICLE BODY,10.0,32.2,Sled
7225,SLED WITHOUT VEHICLE BODY,10.0,32.4,Sled
7226,SLED WITHOUT VEHICLE BODY,10.0,32.2,Sled
7227,SLED WITHOUT VEHICLE BODY,10.0,32.3,Sled
7228,SLED WITHOUT VEHICLE BODY,10.0,32.2,Sled
7229,SLED WITHOUT VEHICLE BODY,10.0,32.2,Sled
7230,SLED WITHOUT VEHICLE BODY,10.0,32.2,Sled
7231,SLED WITHOUT VEHICLE BODY,10.0,32.2,Sled
7232,SLED WITHOUT VEHICLE BODY,10.0,32.1,Sled
7233,SLED WITHOUT VEHICLE BODY,10.0,32.1,Sled
7234,SLED WITHOUT VEHICLE BODY,10.0,32.1,Sled
7235,SLED WITHOUT VEHICLE BODY,10.0,32.2,Sled
7236,SLED WITHOUT VEHICLE BODY,10.0,32.5,Sled
7237,SLED WITHOUT VEHICLE BODY,10.0,32.0,Sled
7238,SLED WITHOUT VEHICLE BODY,10.0,32.2,Sled
7239,SLED WITHOUT VEHICLE BODY,10.0,32.1,Sled
7240,SLED WITHOUT VEHICLE BODY,10.0,31.9,Sled
7241,SLED WITHOUT VEHICLE BODY,10.0,31.9,Sled
7242,SLED WITHOUT VEHICLE BODY,10.0,31.9,Sled
7243,SLED WITHOUT VEHICLE BODY,10.0,32.1,Sled
7244,SLED WITHOUT VEHICLE BODY,10.0,32.0,Sled
7245,SLED WITHOUT VEHICLE BODY,10.0,31.5,Sled
7246,SLED WITHOUT VEHICLE BODY,10.0,31.6,Sled
7247,SLED WITHOUT VEHICLE BODY,10.0,31.7,Sled
7248,SLED WITHOUT VEHICLE BODY,10.0,31.7,Sled
7249,SLED WITHOUT VEHICLE BODY,10.0,31.7,Sled
7250,SLED WITHOUT VEHICLE BODY,10.0,31.6,Sled
7251,SLED WITHOUT VEHICLE BODY,10.0,31.8,Sled
7252,SLED WITHOUT VEHICLE BODY,10.0,31.8,Sled
7253,SLED WITHOUT VEHICLE BODY,10.0,31.8,Sled
7254,SLED WITHOUT VEHICLE BODY,10.0,31.8,Sled
7255,SLED WITHOUT VEHICLE BODY,10.0,31.7,Sled
7256,SLED WITHOUT VEHICLE BODY,10.0,31.7,Sled
7257,SLED WITHOUT VEHICLE BODY,10.0,31.8,Sled
7258,SLED WITHOUT VEHICLE BODY,10.0,31.7,Sled
7259,IMPACTOR INTO VEHICLE,270.0,62.31,Side
7260,LOW RISK DEPLOYMENT,0.0,0.0,Other
7261,LOW RISK DEPLOYMENT,0.0,0.0,Other
7262,LOW RISK DEPLOYMENT,0.0,0.0,Other
7263,LOW RISK DEPLOYMENT,0.0,0.0,Other
7264,VEHICLE INTO BARRIER,0.0,47.5,Frontal
7265,VEHICLE INTO BARRIER,0.0,39.8,Frontal
7266,VEHICLE INTO BARRIER,0.0,47.5,Frontal
7267,LOW RISK DEPLOYMENT,0.0,0.0,Other
7268,LOW RISK DEPLOYMENT,0.0,0.0,Other
7269,LOW RISK DEPLOYMENT,0.0,0.0,Other
7270,LOW RISK DEPLOYMENT,0.0,0.0,Other
7271,VEHICLE INTO BARRIER,0.0,39.8,Frontal
7272,VEHICLE INTO BARRIER,0.0,39.8,Frontal
7273,VEHICLE INTO BARRIER,0.0,39.8,Frontal
7274,VEHICLE INTO BARRIER,30.0,32.7,Frontal
7275,LOW RISK DEPLOYMENT,0.0,0.0,Other
7276,LOW RISK DEPLOYMENT,0.0,0.0,Other
7277,LOW RISK DEPLOYMENT,0.0,0.0,Other
7278,LOW RISK DEPLOYMENT,0.0,0.0,Other
7279,LOW RISK DEPLOYMENT,0.0,0.0,Other
7280,LOW RISK DEPLOYMENT,0.0,0.0,Other
7281,LOW RISK DEPLOYMENT,0.0,0.0,Other
7282,LOW RISK DEPLOYMENT,0.0,0.0,Other
7283,LOW RISK DEPLOYMENT,0.0,0.0,Other
7284,VEHICLE INTO BARRIER,0.0,39.6,Frontal
7285,LOW RISK DEPLOYMENT,0.0,0.0,Other
7286,LOW RISK DEPLOYMENT,0.0,0.0,Other
7287,LOW RISK DEPLOYMENT,0.0,0.0,Other
7288,LOW RISK DEPLOYMENT,0.0,0.0,Other
7289,LOW RISK DEPLOYMENT,0.0,0.0,Other
7290,LOW RISK DEPLOYMENT,0.0,0.0,Other
7291,VEHICLE INTO BARRIER,30.0,39.8,Frontal
7292,VEHICLE INTO VEHICLE,7.0,113.4,Other
7293,VEHICLE INTO VEHICLE,7.0,113.4,Other
7295,LOW RISK DEPLOYMENT,0.0,0.0,Other
7296,LOW RISK DEPLOYMENT,0.0,0.0,Other
7298,LOW RISK DEPLOYMENT,0.0,0.0,Other
7299,LOW RISK DEPLOYMENT,0.0,0.0,Other
7300,LOW RISK DEPLOYMENT,0.0,0.0,Other
7301,VEHICLE INTO BARRIER,0.0,39.9,Frontal
7302,VEHICLE INTO BARRIER,0.0,39.8,Frontal
7303,LOW RISK DEPLOYMENT,0.0,0.0,Other
7304,LOW RISK DEPLOYMENT,0.0,0.0,Other
7305,VEHICLE INTO BARRIER,0.0,39.8,Frontal
7306,LOW RISK DEPLOYMENT,0.0,0.0,Other
7307,LOW RISK DEPLOYMENT,0.0,0.0,Other
7308,VEHICLE INTO BARRIER,0.0,39.8,Frontal
7309,LOW RISK DEPLOYMENT,0.0,0.0,Other
7310,LOW RISK DEPLOYMENT,0.0,0.0,Other
7311,LOW RISK DEPLOYMENT,0.0,0.0,Other
7312,LOW RISK DEPLOYMENT,0.0,0.0,Other
7313,LOW RISK DEPLOYMENT,0.0,0.0,Other
7314,LOW RISK DEPLOYMENT,0.0,0.0,Other
7315,LOW RISK DEPLOYMENT,0.0,0.0,Other
7316,LOW RISK DEPLOYMENT,0.0,0.0,Other
7317,LOW RISK DEPLOYMENT,0.0,0.0,Other
7318,LOW RISK DEPLOYMENT,0.0,0.0,Other
7319,LOW RISK DEPLOYMENT,0.0,0.0,Other
7320,LOW RISK DEPLOYMENT,0.0,0.0,Other
7321,VEHICLE INTO BARRIER,0.0,39.6,Frontal
7322,VEHICLE INTO BARRIER,30.0,39.8,Frontal
7323,LOW RISK DEPLOYMENT,0.0,0.0,Other
7324,LOW RISK DEPLOYMENT,0.0,0.0,Other
7325,LOW RISK DEPLOYMENT,0.0,0.0,Other
7326,LOW RISK DEPLOYMENT,0.0,0.0,Other
7327,LOW RISK DEPLOYMENT,0.0,0.0,Other
7328,LOW RISK DEPLOYMENT,0.0,0.0,Other
7329,LOW RISK DEPLOYMENT,0.0,0.0,Other
7330,LOW RISK DEPLOYMENT,0.0,0.0,Other
7331,LOW RISK DEPLOYMENT,0.0,0.0,Other
7332,LOW RISK DEPLOYMENT,0.0,0.0,Other
7333,LOW RISK DEPLOYMENT,0.0,0.0,Other
7334,LOW RISK DEPLOYMENT,0.0,0.0,Other
7335,LOW RISK DEPLOYMENT,0.0,0.0,Other
7336,VEHICLE INTO BARRIER,30.0,39.8,Frontal
7337,LOW RISK DEPLOYMENT,0.0,0.0,Other
7338,LOW RISK DEPLOYMENT,0.0,0.0,Other
7339,VEHICLE INTO BARRIER,0.0,56.5,Frontal
7340,VEHICLE INTO POLE,270.0,32.12,Side
7341,IMPACTOR INTO VEHICLE,270.0,62.07,Side
7342,VEHICLE INTO BARRIER,0.0,56.86,Frontal
7343,IMPACTOR INTO VEHICLE,270.0,62.31,Side
7344,VEHICLE INTO POLE,270.0,32.5,Side
7345,VEHICLE INTO POLE,270.0,32.92,Side
7346,IMPACTOR INTO VEHICLE,270.0,62.3,Side
7347,VEHICLE INTO BARRIER,0.0,56.5,Frontal
7348,VEHICLE INTO POLE,270.0,32.5,Side
7349,VEHICLE INTO POLE,270.0,32.77,Side
7350,VEHICLE INTO BARRIER,0.0,56.5,Frontal
7351,VEHICLE INTO POLE,270.0,32.67,Side
7352,IMPACTOR INTO VEHICLE,270.0,61.89,Side
7353,IMPACTOR INTO VEHICLE,270.0,62.2,Side
7354,VEHICLE INTO POLE,270.0,32.5,Side
7355,IMPACTOR INTO VEHICLE,270.0,61.8,Side
7356,IMPACTOR INTO VEHICLE,270.0,62.0,Side
7357,VEHICLE INTO BARRIER,0.0,56.27,Frontal
7358,VEHICLE INTO BARRIER,0.0,56.6,Frontal
7359,VEHICLE INTO BARRIER,0.0,56.46,Frontal
7360,VEHICLE INTO BARRIER,0.0,56.16,Frontal
7361,VEHICLE INTO POLE,270.0,32.5,Side
7362,VEHICLE INTO BARRIER,0.0,56.3,Frontal
7363,IMPACTOR INTO VEHICLE,270.0,62.1,Side
7364,IMPACTOR INTO VEHICLE,270.0,62.04,Side
7365,VEHICLE INTO POLE,270.0,32.3,Side
7367,IMPACTOR INTO VEHICLE,270.0,62.2,Side
7369,VEHICLE INTO POLE,270.0,32.5,Side
7370,VEHICLE INTO BARRIER,0.0,56.1,Frontal
7371,VEHICLE INTO VEHICLE,15.0,113.0,Other
7375,VEHICLE INTO BARRIER,0.0,56.3,Frontal
7385,VEHICLE INTO POLE,270.0,31.5,Side
7392,IMPACTOR INTO VEHICLE,270.0,62.1,Side
7393,VEHICLE INTO BARRIER,0.0,56.2,Frontal
7394,VEHICLE INTO POLE,270.0,32.4,Side
7395,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7396,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7397,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7398,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7399,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7401,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7402,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7403,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7404,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7405,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7406,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7407,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7408,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7409,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7410,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7411,VEHICLE INTO POLE,270.0,31.4,Side
7412,IMPACTOR INTO VEHICLE,270.0,61.87,Side
7413,VEHICLE INTO POLE,270.0,31.5,Side
7414,VEHICLE INTO POLE,270.0,32.5,Side
7415,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7416,IMPACTOR INTO VEHICLE,270.0,62.1,Side
7417,VEHICLE INTO BARRIER,0.0,56.4,Frontal
7418,VEHICLE INTO POLE,270.0,32.5,Side
7419,VEHICLE INTO BARRIER,0.0,56.6,Frontal
7420,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7421,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7422,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7423,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7425,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7436,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
7437,STATIC AIR BAG TEST SIDE,0.0,0.0,Side
