TestNo,ChannelName,Rank,Inst_InsCom,Description,Unit
7026,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07026_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0229s, max@0.024s",gn
,,,,,
7032,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07032_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0209s, max@0.0235s",gn
7038,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X:NO VALID DATA COLLECTED,"v07038_089af0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@-0.0014s, max@-0.0095s",gn
7056,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07056_031aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0498s, max@0.0503s",gn
7066,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07066_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0557s, max@0.0564s",gn
7068,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07068_031aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0471s, max@0.0457s",gn
7074,10SEATLERE00AC1P,2,V1 LEFT REAR #1X,"v07074_088aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.03215s, max@0.0305s",gn
,,,,,
7078,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07078_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0451s, max@0.0444s",gn
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
7099,10SEATLERE00AC1P,2,V1 LEFT REAR #1X,"v07099_089aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0265s, max@0.01715s",gn
,,,,,
,,,,,
7112,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07112_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0436s, max@0.0147s",gn
7115,10SEATLERE00AC1P,2,V1 LEFT REAR #1X,"v07115_089aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.01535s, max@0.1676s",gn
7120,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07120_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0352s, max@0.0134s",gn
7121,10SEATLERE00AC1P,2,V1 LEFT REAR #1X,"v07121_089aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.05305s, max@0.05375s",gn
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
7127,10SEATLERE00AC1P,2,V1 LEFT REAR #1X,"v07127_089aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0591s, max@0.02375s",gn
,,,,,
7137,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X:NO VALID DATA COLLECTED AFTER 40MS,"v07137_089af0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0366s, max@0.0288s",gn
7139,10SEATLERE00AC1P,2,V1 LEFT REAR #1X,"v07139_089aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0431s, max@0.04785s",gn
7147,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07147_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0663s, max@0.0396s",gn
,,,,,
7149,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07149_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0673s, max@0.0665s",gn
7150,10SEATLERE00AC1P,2,V1 LEFT REAR #1X,"v07150_089aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.03475s, max@0.01975s",gn
,,,,,
7158,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07158_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0341s, max@0.0304s",gn
7175,10SEATLERE00AC1P,2,V1 LEFT REAR #1X,"v07175_089aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0418s, max@0.0367s",gn
,,,,,
7180,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07180_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0403s, max@0.0275s",gn
7182,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07182_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0461s, max@0.035s",gn
,,,,,
7188,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07188_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0438s, max@0.0238s",gn
7189,10SEATLERE00AC1P,2,V1 LEFT REAR #1X,"v07189_089aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0331s, max@0.03395s",gn
7194,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07194_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0377s, max@0.0201s",gn
,,,,,
7200,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07200_089aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0595s, max@0.0599s",gn
7201,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07201_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0276s, max@0.0153s",gn
7203,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07203_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0187s, max@0.0239s",gn
7339,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07339_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0422s, max@0.043s",gn
,,,,,
7347,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07347_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0402s, max@0.0761s",gn
7350,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07350_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0324s, max@0.0145s",gn
,,,,,
7358,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07358_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0337s, max@0.0185s",gn
7359,10SEATLERE00AC1P,2,V1 LEFT REAR #1X,"v07359_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.07265s, max@0.0728s",gn
,,,,,
7362,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X:No valid data collected after 15ms,"v07362_093af0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0107s, max@0.0144s",gn
7370,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07370_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0406s, max@0.0375s",gn
7375,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07375_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0374s, max@0.038s",gn
7393,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X:No valid data collected after 68ms,"v07393_093af0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0401s, max@0.0419s",gn
7417,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07417_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=1650; min@0.0701s, max@0.0425s",gn
,,,,,
7440,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07440_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0282s, max@0.0273s",gn
7460,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07460_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0179s, max@0.0213s",gn
7464,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07464_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0431s, max@0.0383s",gn
7471,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07471_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0512s, max@0.043s",gn
,,,,,
,,,,,
,,,,,
7482,10SEATLERE00AC1P,1,V1 LEFT REAR SILL AX,"v07482_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0372s, max@0.0174s",gn
7488,10SEATLERE00AC1P,1,V1 LEFT REAR SILL AX,"v07488_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.01125s, max@0.0127s",gn
7494,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07494_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0306s, max@0.0303s",gn
7495,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07495_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0407s, max@0.062s",gn
,,,,,
7504,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07504_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0313s, max@0.027s",gn
,,,,,
7509,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07509_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.1247s, max@0.1245s",gn
7516,10SEATLERE00AC1P,1,V1 LEFT REAR SILL AX,"v07516_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0195s, max@0.0207s",gn
7520,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07520_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0843s, max@0.0845s",gn
7521,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07521_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0137s, max@0.0929s",gn
7525,10SEATLERE00AC1P,1,V1 LEFT REAR SILL AX,"v07525_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0593s, max@0.0333s",gn
7526,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07526_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0459s, max@0.0455s",gn
7527,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07527_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0214s, max@0.0231s",gn
7531,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07531_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0578s, max@0.0576s",gn
7536,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07536_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0384s, max@0.0298s",gn
7564,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07564_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0135s, max@0.0264s",gn
7566,10SEATLERE00AC1P,1,V1 LEFT REAR SILL AX,"v07566_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.05205s, max@0.0519s",gn
7567,10SEATLERE00AC1P,1,V1 LEFT REAR SILL AX,"v07567_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.01285s, max@0.01685s",gn
7569,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07569_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0638s, max@0.0636s",gn
7573,10SEATLERE00AC1P,1,V1 LEFT REAR SILL AX,"v07573_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0227s, max@0.02745s",gn
7574,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X: QUESTIONABLE FROM 58-64 MS,"v07574_093aq0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0403s, max@0.0587s",gn
7577,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07577_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0184s, max@0.0202s",gn
7579,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X: QUESTIONABLE DATA FROM 63-65 MS,"v07579_093aq0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0639s, max@0.0235s",gn
7582,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07582_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0346s, max@0.0326s",gn
7585,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07585_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0106s, max@0.0139s",gn
7587,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07587_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.018s, max@0.0167s",gn
7588,10SEATLERE00AC1P,1,V1 LEFT REAR SILL AX - QUESTIONABLE DELTA-V,"v07588_093aq0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0216s, max@0.12305s",gn
7592,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07592_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0127s, max@0.0133s",gn
7605,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07605_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0312s, max@0.0174s",gn
7606,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07606_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0187s, max@0.0179s",gn
7609,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07609_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0328s, max@0.0256s",gn
7612,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07612_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0174s, max@0.0136s",gn
7614,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07614_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0249s, max@0.0247s",gn
7615,10SEATLERE00AC1P,1,V1 LEFT REAR SILL AX,"v07615_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0465s, max@0.151s",gn
7617,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07617_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0342s, max@0.0338s",gn
7618,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07618_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0591s, max@0.0619s",gn
7619,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X:QUESTIONABLE DATA FROM 56-62MS,"v07619_093aq0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0579s, max@0.0599s",gn
7620,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07620_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0379s, max@0.0373s",gn
7622,10SEATLERE00AC1P,1,V1 LEFT REAR SILL AX,"v07622_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0713s, max@0.0693s",gn
7623,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07623_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0172s, max@0.0263s",gn
7624,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07624_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0135s, max@0.0128s",gn
7625,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07625_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0283s, max@0.0281s",gn
7626,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07626_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0291s, max@0.0303s",gn
7627,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07627_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0232s, max@0.0222s",gn
7628,10SEATLERE00AC1P,1,V1 LEFT REAR SILL AX,"v07628_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.04015s, max@0.01125s",gn
7641,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07641_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0224s, max@0.0195s",gn
7717,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07717_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0342s, max@0.0231s",gn
7720,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07720_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0371s, max@0.0243s",gn
7729,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07729_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0358s, max@0.011s",gn
7732,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07732_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0566s, max@0.0561s",gn
7734,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07734_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0322s, max@0.0192s",gn
7740,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07740_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0334s, max@0.0366s",gn
7744,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07744_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0326s, max@0.0825s",gn
7747,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07747_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0856s, max@0.0844s",gn
7751,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07751_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0184s, max@0.0209s",gn
7755,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07755_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0111s, max@0.0149s",gn
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
7856,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07856_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0583s, max@0.0565s",gn
7857,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07857_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0527s, max@0.0151s",gn
7863,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07863_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0342s, max@0.0204s",gn
7869,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07869_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0496s, max@0.049s",gn
7871,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07871_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0578s, max@0.0585s",gn
7872,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07872_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0594s, max@0.0567s",gn
7873,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07873_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0386s, max@0.0356s",gn
7876,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X:NO VALID DATA COLLECTED AFTER 70MS,"v07876_093aq0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0459s, max@0.0219s",gn
7931,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07931_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0367s, max@0.0777s",gn
7941,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07941_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0452s, max@0.045s",gn
7947,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07947_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0393s, max@0.0391s",gn
7965,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07965_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.0572s, max@0.0167s",gn
7966,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07966_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0375s, max@0.0373s",gn
7969,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07969_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0434s, max@0.0406s",gn
7975,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07975_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.043s, max@0.0424s",gn
7977,10DOORLERE00AC1P,1,LEFT REAR SILL AX,"v07977_093aa0.uds; Sensor: type=AC, Attach=DSLR, Prefilter Frequency=2900; min@0.048s, max@0.0151s",gn
7978,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07978_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0376s, max@0.0425s",gn
7983,10SEATLERE00AC1P,1,V1 LEFT REAR SILL AX,"v07983_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=4000; min@0.0153s, max@0.0232s",gn
7989,10FORALERE00AC1P,1,LEFT REAR SEAT CROSSMEMBER X,"v07989_093aa0.uds; Sensor: type=AC, Attach=FLLR, Prefilter Frequency=2800; min@0.0221s, max@0.0248s",gn
7995,10SEATLERE00AC1P,2,CROSSMEMBER LEFT REAR X,"v07995_093aa0.uds; Sensor: type=AC, Attach=SELR, Prefilter Frequency=2000; min@0.03128s, max@0.03104s",gn
